CODE,ISOLATE_ID,ORIGINAL_SPECIES,REGION,SITE,ENVIRONMENT,SAMPLING_SOURCE,NATIONAL_SITE,LOCAL_SITE,REPLICATE,COLONY,ESBL,SOURCE_FILE,AM,AMC,AMI,AN,C,CF,CFA,CFO,CFT,CFV,CN,CPD,CPT,CTF,CTX,CZA,DO,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,PRA,SXT,TE,SCORED_RESISTANCE,NUM_ANTIBIOTICS_TESTED,MAR_INDEX
EC_MAEWUR2C18,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,18.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR2C20,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,20.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,R,1,22,0.0455
EC_MAEWUR2C23,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,23.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR2C26,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,26.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR2C30,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,30.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C1,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,R,S,2,22,0.0909
EC_MAEWUR3C2,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,R,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MAEWUR3C3,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MAEWUR3C4,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C6,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C15,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,15.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR3C20,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,20.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR3C22,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,22.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C24,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,24.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR3C27,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,27.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C28,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,28.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C29,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,29.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,I,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C31,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,31.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C32,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,32.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR3C33,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,3.0,33.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,I,S,S,,S,,S,,S,S,S,S,R,1,22,0.0455
EC_MAEWTR2C5,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Treated,Marawi,APMC,2.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWTR2C6,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Treated,Marawi,APMC,2.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWTR3C9,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Treated,Marawi,APMC,3.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,I,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MAEWTR3C10,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Treated,Marawi,APMC,3.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,I,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MAEWTR3C11,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Treated,Marawi,APMC,3.0,11.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,R,3,22,0.1364
EC_MDDWR1C1,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Drinking Water,Marawi,Dayawan,1.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDDWR1C2,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Drinking Water,Marawi,Dayawan,1.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDDWR2C3,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Drinking Water,Marawi,Dayawan,2.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
SAL_MDDWR2C1,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Drinking Water,Marawi,Dayawan,2.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,R,,R,R,,R,R,,,,,R,I,R,,S,,S,,S,S,S,S,R,9,19,0.4736842105
SAL_MDDWR2C2,Escherichia coli,,BARMM,DAYAWAN,Water,Drinking Water,Marawi,Dayawan,2.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,0,22,0
EC_MDLWR1C1,Enterobacter cloacae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,1.0,1.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,S,,S,S,S,,S,S,,S,S,,,S,,S,S,S,,S,,S,,S,S,S,S,S,0,19,0
EC_MDLWR1C6,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,1.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,I,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDLWR1C12,Enterobacter cloacae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,1.0,12.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,R,,S,S,R,,R,S,,R,S,,,,S,S,S,I,,S,,S,,S,S,S,S,S,4,19,0.2105263158
EC_MDLWR2C4,Enterobacter cloacae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,2.0,4.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,R,,S,S,R,,S,S,,R,S,,,S,S,S,S,I,,S,,S,,S,S,S,S,S,3,20,0.15
EC_MDLWR2C8,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,2.0,8.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDLWR2C9,Klebsiella pneumoniae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,2.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDLWR2C12,Enterobacter cloacae,,BARMM,DAYAWAN,Water,Lake Water,Marawi,Dayawan,2.0,12.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,R,,S,S,R,,S,S,,R,S,,,S,S,S,S,S,,S,,S,,S,,S,S,S,3,19,0.1578947368
EC_MDFTR1C2,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDFTR1C4,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,4.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,I,S,,S,S,,S,S,S,,S,S,I,S,S,,S,,S,,S,S,S,S,R,1,22,0.04545454545
EC_MDFTR1C7,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR1C8,Enterobacter cloacae,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,8.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,S,,S,S,R,,S,S,,R,S,,,S,S,S,S,S,,S,,S,,S,S,S,S,S,3,20,0.15
EC_MDFTR1C9,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR1C11,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,11.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,2,22,0.09090909091
EC_MDFTR1C13,Enterobacter cloacae,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,13.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,R,,S,S,R,,S,I,,R,S,,,S,S,R,S,S,,S,,S,,S,S,S,S,S,4,20,0.2
EC_MDFTR1C15,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,15.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,I,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR1C16,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,16.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,R,,I,I,,R,S,,,,S,R,S,S,,S,,S,,S,S,I,R,I,5,20,0.25
EC_MDFTR1C17,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,17.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,R,R,,S,S,,R,S,,,,,R,S,S,,S,,S,,S,S,S,R,S,6,19,0.3157894737
EC_MDFTR1C18,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,18.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,I,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR2C3,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,3.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,R,,R,R,,R,I,,,,,S,S,S,,S,,R,,S,S,S,S,S,6,19,0.3157894737
EC_MDFTR2C6,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR2C7,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR2C8,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,8.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,I,2,22,0.09090909091
EC_MDFTR2C10,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,I,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR2C14,Enterobacter aerogenes,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,14.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,S,,S,S,R,,S,S,,R,S,S,,S,S,R,I,S,,S,,S,,S,S,S,S,R,5,19,0.2631578947
EC_MDFTR2C15,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,15.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.04545454545
EC_MDFTR2C16,Enterobacter aerogenes,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,16.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,,S,,S,R,R,,R,I,,R,I,,,,S,R,I,S,,S,,S,,S,S,S,R,I,7,19,0.3684210526
EC_MDFTR3C1,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0
EC_MDFTR3C8,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,8.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,R,,S,S,,R,S,S,,S,S,R,I,S,,S,,S,,S,S,I,R,R,6,22,0.2727272727
EC_MDFTR3C10,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,10.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,I,I,,S,,S,,S,S,I,R,R,4,22,0.1818181818
EC_MDFTR3C16,Klebsiella pneumoniae,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,16.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,R,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,2,22,0.09090909091
EC_MDFTR3C17,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,17.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,R,R,,I,I,,R,S,,,,,R,S,S,,S,,S,,S,S,S,R,R,7,19,0.3684210526
EC_MDFTR3C18,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,18.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,R,S,,S,S,,R,S,S,,S,S,R,S,S,,S,,S,,S,S,S,R,R,6,22,0.2727272727
SAL_MDFTR2C1,Salmonella species,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,1.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,R,R,R,,I,I,,R,S,,,,S,S,I,S,,R,,S,,S,S,I,S,S,6,20,0.3
SAL_MDFTR2C5,Salmonella species,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,2.0,5.0,,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,R,I,R,,I,I,,R,S,,,,S,S,I,S,,R,,S,,S,S,S,S,S,5,20,0.25
SAL_MDFTR3C6,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,3.0,6.0,POS,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,R,,R,R,,R,I,R,,,S,R,R,S,,S,,S,,R,I,R,R,R,11,21,0.5238095238
VC_MDFTR1C1,Escherichia coli,,BARMM,DAYAWAN,Fish,Fish Tilapia,Marawi,Dayawan,1.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-DAYAWAN.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,I,S,S,,S,,S,,S,S,S,S,R,2,22,0.09090909091
